word,wins
brave,1
avert,1
flyph,1
there,1
baker,1
snarl,2
maple,1
inane,1
valet,1
medal,1
unite,1
rainy,1
begin,1
stale,1
dream,1
photo,1
aloud,1
inept,1
piney,1
leave,1
twine,1
sting,1
bough,1
marsh,1
sloth,1
dandy,1
vigor,1
howdy,1
enjoy,1
valid,1
ionic,1
equal,1
floor,1
catch,1
spade,1
stein,1
exist,1
quirk,1
denim,1
grove,1
spiel,1
mummy,1
fault,1
foggy,1
flout,1
carry,1
sneak,1
libel,1
waltz,1
aptly,1
fungi,1
charm,1
gully,1
inter,1
whoop,1
taunt,1
leery,1
class,1
theme,1
lofty,1
tibia,1
booze,1
alpha,1
thyme,1
doubt,1
parer,1
chute,1
stick,1
trice,1
alike,1
recap,1
saint,1
glory,1
grate,1
admit,1
brisk,1
soggy,1
usurp,1
scald,1
scorn,1
quart,1
coyly,1
youth,1
rhyme,1
buggy,1
alien,1
smear,1
unfit,1
patty,1
cling,1
glean,1
label,1
hunky,1
khaki,1
poker,1
gruel,1
twice,1
twang,1
shrug,1
treat,1
waste,1
merit,1
woven,1
needy,1
clown,1
irony,1
ruder,1
gauze,1
chief,1
onset,1
prize,1
pinto,1
egret,1
lilac,1
sever,1
field,1
fluff,1
agape,1
voice,1
stead,1
berth,1
madam,1
night,1
bland,1
liver,1
wedge,1
roomy,1
wacky,1
flock,1
angry,1
trite,1
aphid,1
tryst,1
midge,1
power,1
elope,1
cinch,1
motto,1
stomp,1
upset,1
bluff,1
cramp,1
creak,1
showy,1
phase,1
froth,1
depth,1
gloom,1
flood,1
trait,1
girth,1
piety,1
goose,1
float,1
donor,1
atone,1
primo,1
apron,1
blown,1
cacao,1
loser,1
input,1
gloat,1
awful,1
brink,1
smite,1
beady,1
rusty,1
retro,1
droll,1
gawky,1
hutch,1
forgo,1
story,1
hairy,1
train,1
homer,1
badge,1
midst,1
canny,1
shine,1
gecko,1
farce,1
slung,1
tipsy,1
metal,1
yield,1
delve,1
being,1
scour,1
glass,1
gamer,1
scrap,1
money,1
hinge,1
album,1
vouch,1
asset,1
tiara,1
crept,1
bayou,1
atoll,1
manor,1
